0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/logo_final.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:51 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:17:34 +0530] "GET /psc_web_app/list HTTP/1.1" 200 5880
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:17:34 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:17:58 +0530] "GET /psc_web_app/new HTTP/1.1" 200 5525
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:17:58 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:18:05 +0530] "POST /psc_web_app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:18:06 +0530] "GET /psc_web_app/list HTTP/1.1" 200 6340
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:18:06 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:18:07 +0530] "GET /psc_web_app/new HTTP/1.1" 200 5525
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:18:07 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:22:55 +0530] "POST /psc_web_app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:22:55 +0530] "GET /psc_web_app/list HTTP/1.1" 200 6810
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:22:55 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:23:01 +0530] "GET /psc_web_app/new HTTP/1.1" 200 5525
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:23:01 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:23:27 +0530] "POST /psc_web_app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:23:28 +0530] "GET /psc_web_app/list HTTP/1.1" 200 7270
