127.0.0.1 - - [26/Nov/2021:01:06:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73226
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 200 47569
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135574
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/assets/img/logo_final.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:13 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:20 +0530] "GET /psc_web_app/alllist HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:23 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:23 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:23 +0530] "GET /psc_web_app/assets/img/logo_final.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:23 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:23 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:30 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10196
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10196
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:31 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10196
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/team/logo_final.png%22 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:32 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:34 +0530] "GET /psc_web_app/dashboard.html HTTP/1.1" 404 682
